Average Of Parameters Methods,Average Of Number of Edges,Average Of Number of Actions,Average Of Locality,Coupling,Cohesion,Complxity,Sability,Standard Deviation,Encapsulation,Interfacing
1.103658536585366,2.75,2.1707317073170733,1.0,7.017241379310345,0.5862068965517241,2.107488057919092,0.6379310344827587,3.9520722125411307,0.16379310344827586,0.06896551724137931
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
